year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,62,2,1,1,1,1,1,1,1,2,5,4,3,4,60~,lower,conservative,remained,agree,strongly disagree,disagree,1,1,1,1,1,1,1
2003,48,3,1,1,1,1,3,1,1,2,2,4,4,4,40~59,lower,middle,reduced,agree,agree,disagree,1,1,1,1,0,1,1
2003,33,4,2,2,3,1,3,1,2,3,4,3,,3,19~39,lower,liberal,,neutral,disagree,neutral,1,1,0,1,0,1,1
2003,28,,2,2,3,1,2,3,3,4,4,3,,5,19~39,middle,,,disagree,disagree,neutral,1,1,0,1,1,0,0
2003,75,1,2,2,3,1,3,1,1,4,3,3,2,5,60~,middle,conservative,increased,disagree,neutral,neutral,1,1,0,1,0,1,1
2003,62,4,2,2,2,2,3,1,4,2,3,3,4,4,60~,lower,liberal,reduced,agree,neutral,neutral,1,1,1,1,0,1,0
2003,61,4,1,1,2,1,2,2,2,1,2,3,4,2,60~,lower,liberal,reduced,strongly agree,agree,neutral,1,1,1,1,1,1,1
2003,39,2,2,2,3,3,3,1,3,5,4,3,3,7,19~39,upper,conservative,remained,strongly disagree,disagree,neutral,1,1,0,0,0,1,0
2003,61,,3,2,3,3,2,1,2,4,4,3,3,3,60~,lower,,remained,disagree,disagree,neutral,0,1,0,0,1,1,1
2003,27,4,3,3,3,2,2,2,3,3,4,3,,2,19~39,lower,liberal,,neutral,disagree,neutral,0,0,0,1,1,1,0
